時間戳記,您的年齡是?,您的(生理)性別是?,我這一周內覺得頭暈或胸悶,我這一周內覺得身體疲勞,我這一周內容易入眠,我這一週內感到平靜、放鬆或安寧,我在遇到生氣的事情可以自己平緩情緒,我容易覺得苦惱或動怒,我感覺憂鬱、心情低落,我對身邊朋友家人感到信任,我會擔心突發狀況,我能為自己所做的事承擔後果,遇到困難時我會主動尋求協助,我會按時完成作業或任務,我能適應新的環境並結交朋友,我對自己有信心,我知道自己的優點與缺點,"我害怕自己被批評時被同學,家人知道,發現",我覺得自己比不上別人,我在新的社交環境容易感到緊張,在新環境中我通常會主動先說話,我有一個信任的朋友,表現不如預期時，我會主動去改善,"老師誤會我時,我會去跟他說清楚",在活動進行中發現原本的計畫無法順利執行，我會想辦法解決,好朋友因為一點小事生氣不理我，我會去和他解釋清楚,我對未來有明確的目標,您的居住區域是?
2023/12/21 上午 11:09:41,13,男,1,1,4,3,4,1,1,4,2,3,4,3,4,4,4,4,4,4,3,4,4,4,3,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:47,14,男,1,2,4,2,3,3,3,4,4,3,3,2,3,4,3,2,3,4,2,4,3,1,3,1,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:47,13,女,2,3,3,3,3,2,1,4,3,4,3,3,3,3,3,2,2,1,2,4,4,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:51,13,女,2,1,4,4,3,2,1,4,4,4,4,4,4,3,3,2,4,2,2,4,4,2,4,4,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:09:55,14,女,1,3,3,1,4,2,4,2,3,4,3,2,3,2,3,3,4,2,3,3,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:00,13,女,1,1,3,3,3,2,1,3,2,4,3,4,2,2,2,3,2,3,1,3,3,2,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:02,14,女,2,3,3,2,1,2,3,2,3,3,4,4,3,2,4,2,3,3,2,1,3,4,4,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:06,14,女,3,2,4,3,4,1,1,4,2,4,3,4,4,2,2,1,2,3,2,2,2,4,3,3,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:15,13,男,1,3,3,3,2,1,4,3,3,2,3,2,4,4,4,4,1,3,2,4,2,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:24,14,男,2,3,4,2,2,3,1,3,4,2,2,3,3,3,2,2,3,4,1,4,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:32,14,男,1,2,3,3,4,1,2,3,4,3,3,3,3,4,4,4,2,4,1,4,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:38,13,男,1,1,4,3,4,1,1,4,3,4,4,4,4,4,3,2,1,3,1,4,4,3,4,3,3,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:10:47,14,男,3,4,4,2,3,3,3,3,4,4,4,3,2,2,2,4,4,4,2,4,3,2,2,1,1,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:11:02,13,女,2,2,3,2,2,3,4,3,3,3,2,2,2,2,3,4,4,4,2,3,3,2,3,2,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:11:05,13,男,3,2,3,1,3,2,2,1,1,2,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:11:34,13,女,1,2,4,3,3,1,3,3,3,3,3,2,3,2,2,2,3,3,2,3,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:12:22,13,女,2,3,2,2,1,1,4,2,1,4,4,4,2,1,3,2,4,3,2,2,3,4,3,2,2,東部(花蓮縣與臺東縣)
2023/12/21 上午 11:32:06,14,女,1,2,4,2,3,3,3,2,3,2,2,2,2,2,1,2,2,2,2,2,3,2,3,2,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:37,14,女,2,4,4,2,1,1,2,4,1,3,3,2,2,3,3,4,4,3,1,4,4,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:38,21,其他,4,4,4,2,2,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:49,14,男,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:52,14,男,4,4,2,1,1,4,4,2,4,4,1,4,3,1,3,3,4,4,1,3,1,1,1,3,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:54,14,女,2,3,2,2,3,3,2,2,4,2,2,2,2,3,3,2,3,3,1,3,3,4,3,2,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:58,14,女,1,2,2,2,4,2,2,4,4,4,2,2,2,2,3,2,3,4,1,4,4,2,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:24:59,14,男,1,3,3,2,4,2,2,3,2,3,2,2,3,3,3,1,2,2,3,3,3,1,3,2,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:00,14,男,1,2,2,2,2,2,2,3,3,4,3,1,4,3,4,2,2,2,2,3,2,3,2,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:00,15,男,1,3,3,3,2,2,1,2,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:01,15,男,1,4,4,3,2,2,2,2,3,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:02,15,女,2,3,4,1,3,4,2,3,4,2,3,3,2,2,3,4,3,3,2,4,3,1,3,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:11,15,女,1,3,4,2,3,2,2,3,2,2,3,3,3,3,3,2,2,3,2,2,3,3,3,2,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:13,14,女,1,3,3,2,3,3,3,2,3,2,2,2,2,2,2,2,3,3,2,4,2,2,2,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:15,14,女,1,1,1,1,1,1,1,1,1,4,4,3,4,4,4,4,2,4,4,4,4,4,4,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:16,22,其他,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:17,14,女,1,1,4,4,4,1,1,4,1,4,4,4,4,4,4,1,1,1,3,4,4,3,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:22,15,男,2,4,2,4,4,2,1,4,4,4,4,4,4,4,4,4,2,2,4,4,4,4,4,4,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:30,14,男,1,1,2,3,4,1,1,3,4,3,3,3,3,2,2,2,3,3,1,3,2,2,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:30,15,女,1,2,3,3,2,3,2,2,4,4,3,2,4,2,2,2,2,2,2,4,2,3,3,2,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:37,14,女,3,3,4,3,2,4,2,4,4,3,4,2,3,4,3,3,2,3,1,3,3,4,3,1,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:50,14,男,1,2,3,2,3,2,4,3,1,3,2,3,4,4,2,1,1,1,3,3,3,3,3,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:50,14,女,1,2,2,3,2,3,3,3,2,4,2,3,1,1,2,4,4,4,1,3,1,2,3,4,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:25:51,15,男,1,3,2,4,3,3,3,4,3,4,3,3,4,4,4,1,4,1,4,4,3,1,3,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:26:00,14,女,2,2,4,2,4,2,1,4,4,4,4,3,4,4,4,4,2,4,2,4,4,4,4,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 1:26:05,14,女,2,3,2,2,3,2,2,3,3,2,2,2,3,2,3,2,3,3,2,3,2,2,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:20:58,15,男,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,3,1,4,2,3,4,2,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:06,15,男,1,2,3,2,3,2,1,3,3,3,3,4,3,3,3,3,2,3,4,1,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:09,15,女,1,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:16,15,女,1,1,3,2,3,2,2,2,3,3,3,4,3,2,3,3,2,3,3,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:16,14,男,1,1,4,3,3,2,1,4,3,4,4,4,4,3,3,4,2,3,2,4,3,4,3,4,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:32,15,女,2,3,2,2,2,2,2,2,2,2,3,2,3,3,2,3,2,2,3,4,3,3,3,3,3,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:32,15,女,1,4,4,2,3,2,3,4,2,3,3,4,3,2,3,2,3,3,2,4,3,3,3,3,2,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:52,14,女,1,4,4,2,4,3,1,4,3,4,4,3,2,3,4,3,4,3,1,4,4,3,4,2,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:21:53,14,男,1,4,4,3,4,1,1,3,1,4,4,4,4,4,4,1,1,1,3,3,1,4,4,3,4,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:10,14,女,1,4,1,2,2,1,1,2,1,3,1,2,1,1,2,4,4,4,1,2,4,2,1,1,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:15,14,男,2,3,4,3,2,2,2,3,3,3,3,3,2,2,3,3,2,2,2,4,3,2,3,2,1,東部(花蓮縣與臺東縣)
2023/12/22 下午 2:22:16,15,男,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,東部(花蓮縣與臺東縣)
